VIN (1-10),Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,DOL Vehicle ID
3C3CFFGE2F,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,148799822
3MW5P9J0XN,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,204822761
WBA13AG09M,2021,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,268385407
WBA43EH00R,2024,BMW,750E,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,36,261702318
WAUTPBF26M,2021,AUDI,A7 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,24,168765166
5LMYJ9YY9N,2022,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,217982817
WDDVP9AB6H,2017,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,260699134
1G1FY6S06L,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,264646266
53TBH2MC0B,2011,TH!NK,CITY,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,100,350464278
JHMZC5F17M,2021,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,48,194156777
1FADP5FU3H,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,348365069
5LMTJ5DZ9N,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,28,195298120
LREKK5RX9J,2018,CADILLAC,CT6,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31,301144721
JM3KKEHAXR,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,255986118
WVWPR7AU3H,2017,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,218118659
1G6RL1E47G,2016,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,121298642
WMEFJ9BA1J,2018,SMART,EQ FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,205863458
1FMCU0EZ5N,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,224551743
